Office,Parish,Ward,Precinct,"Ben Gibson (REP)","Kenny Houston (DEM)","""Mike"" Johnson (REP)","Ryan Trundle (DEM)"
"U. S. Representative -- 4th Congressional District","Allen","01","01","11","34","74","7"
"U. S. Representative -- 4th Congressional District","Allen","01","02","11","14","67","13"
"U. S. Representative -- 4th Congressional District","Allen","01","03","15","27","73","6"
"U. S. Representative -- 4th Congressional District","Allen","01","04","7","59","13","19"
"U. S. Representative -- 4th Congressional District","Allen","01","05","5","16","26","3"
"U. S. Representative -- 4th Congressional District","Allen","01","06","11","22","105","10"
"U. S. Representative -- 4th Congressional District","Allen","02","01","17","32","130","18"
"U. S. Representative -- 4th Congressional District","Allen","02","02","29","12","274","11"
"U. S. Representative -- 4th Congressional District","Allen","02","02A","22","25","100","15"
"U. S. Representative -- 4th Congressional District","Allen","02","03","31","6","224","4"
"U. S. Representative -- 4th Congressional District","Allen","02","04-C","33","32","177","13"
"U. S. Representative -- 4th Congressional District","Allen","02","04-O","24","43","210","27"
"U. S. Representative -- 4th Congressional District","Allen","02","05","7","50","7","20"
"U. S. Representative -- 4th Congressional District","Allen","02","06","21","10","173","3"
"U. S. Representative -- 4th Congressional District","Allen","03","01","32","7","185","1"
"U. S. Representative -- 4th Congressional District","Allen","03","02","64","38","397","9"
"U. S. Representative -- 4th Congressional District","Allen","04","02","27","7","220","1"
"U. S. Representative -- 4th Congressional District","Allen","04","03","39","8","212","5"
"U. S. Representative -- 4th Congressional District","Allen","05","02","73","12","316","6"
"U. S. Representative -- 4th Congressional District","Allen","05","03","24","22","183","5"
"U. S. Representative -- 4th Congressional District","Allen","05","04-C","35","44","273","16"
"U. S. Representative -- 4th Congressional District","Allen","05","04-O","18","13","188","3"
"U. S. Representative -- 4th Congressional District","Allen","05","05","17","3","145","1"
"U. S. Representative -- 4th Congressional District","Allen","05","07","11","174","42","31"
"U. S. Representative -- 4th Congressional District","Allen","05","08A","3","9","17","0"
"U. S. Representative -- 4th Congressional District","Allen","05","09","32","91","250","12"
"U. S. Representative -- 4th Congressional District","Allen","05","10","32","14","318","4"
"U. S. Representative -- 4th Congressional District","Allen","05","12","5","27","20","6"
"U. S. Representative -- 4th Congressional District","Allen","05","13","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Allen","Early Voting","","243","519","1946","192"
"U. S. Representative -- 4th Congressional District","Allen","Provisional Votes","","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Beauregard","00","01","39","5","190","1"
"U. S. Representative -- 4th Congressional District","Beauregard","00","02","3","7","30","1"
"U. S. Representative -- 4th Congressional District","Beauregard","00","03","24","8","126","9"
"U. S. Representative -- 4th Congressional District","Beauregard","00","04","45","29","189","16"
"U. S. Representative -- 4th Congressional District","Beauregard","00","05","40","7","271","12"
"U. S. Representative -- 4th Congressional District","Beauregard","00","06","18","7","143","6"
"U. S. Representative -- 4th Congressional District","Beauregard","00","07","36","12","235","6"
"U. S. Representative -- 4th Congressional District","Beauregard","00","09","50","8","245","15"
"U. S. Representative -- 4th Congressional District","Beauregard","00","10","60","13","239","9"
"U. S. Representative -- 4th Congressional District","Beauregard","00","11","73","15","353","3"
"U. S. Representative -- 4th Congressional District","Beauregard","00","12","139","18","552","19"
"U. S. Representative -- 4th Congressional District","Beauregard","00","12A","39","6","166","5"
"U. S. Representative -- 4th Congressional District","Beauregard","00","12B","64","8","295","3"
"U. S. Representative -- 4th Congressional District","Beauregard","00","13","43","3","170","0"
"U. S. Representative -- 4th Congressional District","Beauregard","00","13A","26","3","113","5"
"U. S. Representative -- 4th Congressional District","Beauregard","00","14","38","9","211","8"
"U. S. Representative -- 4th Congressional District","Beauregard","00","14A","39","4","155","3"
"U. S. Representative -- 4th Congressional District","Beauregard","00","15","28","5","143","1"
"U. S. Representative -- 4th Congressional District","Beauregard","00","16","34","19","226","7"
"U. S. Representative -- 4th Congressional District","Beauregard","00","16A","19","15","77","4"
"U. S. Representative -- 4th Congressional District","Beauregard","00","16B","12","8","145","2"
"U. S. Representative -- 4th Congressional District","Beauregard","00","17","12","6","201","4"
"U. S. Representative -- 4th Congressional District","Beauregard","00","17A","17","2","171","2"
"U. S. Representative -- 4th Congressional District","Beauregard","00","18","5","4","81","0"
"U. S. Representative -- 4th Congressional District","Beauregard","00","18A","1","0","23","0"
"U. S. Representative -- 4th Congressional District","Beauregard","00","19","16","0","112","4"
"U. S. Representative -- 4th Congressional District","Beauregard","00","19C","23","4","153","2"
"U. S. Representative -- 4th Congressional District","Beauregard","00","20","49","18","408","2"
"U. S. Representative -- 4th Congressional District","Beauregard","00","21","33","12","150","7"
"U. S. Representative -- 4th Congressional District","Beauregard","00","22","56","8","291","6"
"U. S. Representative -- 4th Congressional District","Beauregard","00","25","37","35","189","14"
"U. S. Representative -- 4th Congressional District","Beauregard","00","25A","8","17","40","3"
"U. S. Representative -- 4th Congressional District","Beauregard","00","25B","12","24","64","6"
"U. S. Representative -- 4th Congressional District","Beauregard","00","26","15","66","52","22"
"U. S. Representative -- 4th Congressional District","Beauregard","00","27","12","13","101","5"
"U. S. Representative -- 4th Congressional District","Beauregard","00","27A","14","5","160","4"
"U. S. Representative -- 4th Congressional District","Beauregard","00","27B","9","16","89","5"
"U. S. Representative -- 4th Congressional District","Beauregard","00","27D","14","1","58","0"
"U. S. Representative -- 4th Congressional District","Beauregard","00","28","6","87","34","30"
"U. S. Representative -- 4th Congressional District","Beauregard","00","30","12","12","110","8"
"U. S. Representative -- 4th Congressional District","Beauregard","Early Voting","","580","927","4504","457"
"U. S. Representative -- 4th Congressional District","Beauregard","Provisional Votes","","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Bienville","01","01","12","28","36","3"
"U. S. Representative -- 4th Congressional District","Bienville","01","02","12","59","82","15"
"U. S. Representative -- 4th Congressional District","Bienville","01","03","8","19","41","6"
"U. S. Representative -- 4th Congressional District","Bienville","01","04","2","2","29","1"
"U. S. Representative -- 4th Congressional District","Bienville","02","01","13","83","9","16"
"U. S. Representative -- 4th Congressional District","Bienville","02","02","5","40","49","6"
"U. S. Representative -- 4th Congressional District","Bienville","02","03","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Bienville","02","04","0","3","2","2"
"U. S. Representative -- 4th Congressional District","Bienville","02","05","2","6","3","0"
"U. S. Representative -- 4th Congressional District","Bienville","02","06","0","0","1","0"
"U. S. Representative -- 4th Congressional District","Bienville","03","01","5","58","25","30"
"U. S. Representative -- 4th Congressional District","Bienville","03","02","3","67","56","25"
"U. S. Representative -- 4th Congressional District","Bienville","03","03","4","30","65","11"
"U. S. Representative -- 4th Congressional District","Bienville","03","04","1","13","13","5"
"U. S. Representative -- 4th Congressional District","Bienville","03","05","4","2","31","2"
"U. S. Representative -- 4th Congressional District","Bienville","03","06","1","2","15","1"
"U. S. Representative -- 4th Congressional District","Bienville","03","07","0","4","0","1"
"U. S. Representative -- 4th Congressional District","Bienville","04","01","14","85","111","29"
"U. S. Representative -- 4th Congressional District","Bienville","04","02","0","1","38","0"
"U. S. Representative -- 4th Congressional District","Bienville","04","04","28","35","239","18"
"U. S. Representative -- 4th Congressional District","Bienville","05","01","7","88","105","22"
"U. S. Representative -- 4th Congressional District","Bienville","05","02","23","26","172","12"
"U. S. Representative -- 4th Congressional District","Bienville","05","03","10","6","104","3"
"U. S. Representative -- 4th Congressional District","Bienville","05","04","5","0","90","1"
"U. S. Representative -- 4th Congressional District","Bienville","06","01","9","6","144","4"
"U. S. Representative -- 4th Congressional District","Bienville","06","02","18","2","174","6"
"U. S. Representative -- 4th Congressional District","Bienville","06","03","23","30","230","18"
"U. S. Representative -- 4th Congressional District","Bienville","06","04","10","8","140","10"
"U. S. Representative -- 4th Congressional District","Bienville","07","01","6","25","60","9"
"U. S. Representative -- 4th Congressional District","Bienville","07","02","4","28","59","12"
"U. S. Representative -- 4th Congressional District","Bienville","07","03","15","34","73","11"
"U. S. Representative -- 4th Congressional District","Bienville","07","04","14","95","137","23"
"U. S. Representative -- 4th Congressional District","Bienville","07","05","13","8","70","7"
"U. S. Representative -- 4th Congressional District","Bienville","Early Voting","","95","1101","1182","320"
"U. S. Representative -- 4th Congressional District","Bienville","Provisional Votes","","0","1","0","0"
"U. S. Representative -- 4th Congressional District","Bossier","01","01","36","62","192","24"
"U. S. Representative -- 4th Congressional District","Bossier","01","02","41","57","245","31"
"U. S. Representative -- 4th Congressional District","Bossier","01","03","36","52","210","29"
"U. S. Representative -- 4th Congressional District","Bossier","01","03A","39","76","220","22"
"U. S. Representative -- 4th Congressional District","Bossier","01","03B","21","33","124","16"
"U. S. Representative -- 4th Congressional District","Bossier","01","04","52","72","376","46"
"U. S. Representative -- 4th Congressional District","Bossier","01","05","16","33","206","19"
"U. S. Representative -- 4th Congressional District","Bossier","02","01","35","93","226","33"
"U. S. Representative -- 4th Congressional District","Bossier","02","02","14","27","239","16"
"U. S. Representative -- 4th Congressional District","Bossier","02","03","16","61","137","15"
"U. S. Representative -- 4th Congressional District","Bossier","02","03A","15","116","131","32"
"U. S. Representative -- 4th Congressional District","Bossier","02","04 -1","24","36","154","11"
"U. S. Representative -- 4th Congressional District","Bossier","02","04 -2","14","20","176","10"
"U. S. Representative -- 4th Congressional District","Bossier","02","05A","5","27","30","6"
"U. S. Representative -- 4th Congressional District","Bossier","02","06","19","88","54","19"
"U. S. Representative -- 4th Congressional District","Bossier","02","07","19","31","165","23"
"U. S. Representative -- 4th Congressional District","Bossier","02","08","2","114","19","21"
"U. S. Representative -- 4th Congressional District","Bossier","02","09","16","73","152","45"
"U. S. Representative -- 4th Congressional District","Bossier","02","10","8","27","142","12"
"U. S. Representative -- 4th Congressional District","Bossier","02","11","11","22","43","13"
"U. S. Representative -- 4th Congressional District","Bossier","02","11A","2","49","45","17"
"U. S. Representative -- 4th Congressional District","Bossier","02","12A","10","26","48","11"
"U. S. Representative -- 4th Congressional District","Bossier","02","12B","1","47","51","12"
"U. S. Representative -- 4th Congressional District","Bossier","02","12C","11","120","88","28"
"U. S. Representative -- 4th Congressional District","Bossier","02","13","18","105","111","33"
"U. S. Representative -- 4th Congressional District","Bossier","02","14","24","53","107","28"
"U. S. Representative -- 4th Congressional District","Bossier","02","15","30","102","57","23"
"U. S. Representative -- 4th Congressional District","Bossier","02","16","29","131","173","31"
"U. S. Representative -- 4th Congressional District","Bossier","02","16A","1","7","9","1"
"U. S. Representative -- 4th Congressional District","Bossier","02","17A","7","44","58","17"
"U. S. Representative -- 4th Congressional District","Bossier","02","17B","11","98","112","23"
"U. S. Representative -- 4th Congressional District","Bossier","02","18B","19","25","298","14"
"U. S. Representative -- 4th Congressional District","Bossier","02","18C","29","43","329","19"
"U. S. Representative -- 4th Congressional District","Bossier","02","18D","12","19","176","14"
"U. S. Representative -- 4th Congressional District","Bossier","02","18E -1","40","63","455","19"
"U. S. Representative -- 4th Congressional District","Bossier","02","18E -2","49","47","346","16"
"U. S. Representative -- 4th Congressional District","Bossier","02","18F","15","17","217","9"
"U. S. Representative -- 4th Congressional District","Bossier","02","19","14","142","83","52"
"U. S. Representative -- 4th Congressional District","Bossier","02","20","26","45","145","26"
"U. S. Representative -- 4th Congressional District","Bossier","02","21A","36","47","282","35"
"U. S. Representative -- 4th Congressional District","Bossier","02","21B","19","24","330","9"
"U. S. Representative -- 4th Congressional District","Bossier","02","21C -1","28","31","313","12"
"U. S. Representative -- 4th Congressional District","Bossier","02","21C -2","10","16","236","9"
"U. S. Representative -- 4th Congressional District","Bossier","02","21D -1","21","56","290","23"
"U. S. Representative -- 4th Congressional District","Bossier","02","21D -2","21","50","272","21"
"U. S. Representative -- 4th Congressional District","Bossier","02","22A -1","24","23","310","13"
"U. S. Representative -- 4th Congressional District","Bossier","02","22A -2","10","11","258","5"
"U. S. Representative -- 4th Congressional District","Bossier","02","22B","16","8","220","5"
"U. S. Representative -- 4th Congressional District","Bossier","02","22C","6","5","168","2"
"U. S. Representative -- 4th Congressional District","Bossier","02","23","20","18","46","10"
"U. S. Representative -- 4th Congressional District","Bossier","03","01","12","38","144","34"
"U. S. Representative -- 4th Congressional District","Bossier","03","02","15","31","217","22"
"U. S. Representative -- 4th Congressional District","Bossier","03","03","7","15","183","5"
"U. S. Representative -- 4th Congressional District","Bossier","03","04","20","110","197","45"
"U. S. Representative -- 4th Congressional District","Bossier","04","01A","25","31","355","14"
"U. S. Representative -- 4th Congressional District","Bossier","04","02","30","28","582","16"
"U. S. Representative -- 4th Congressional District","Bossier","04","03A","27","108","370","31"
"U. S. Representative -- 4th Congressional District","Bossier","04","03B","25","25","163","16"
"U. S. Representative -- 4th Congressional District","Bossier","04","03C","6","12","107","6"
"U. S. Representative -- 4th Congressional District","Bossier","04","03D","25","51","320","9"
"U. S. Representative -- 4th Congressional District","Bossier","04","04A -1","22","38","266","22"
"U. S. Representative -- 4th Congressional District","Bossier","04","04A -2","21","44","252","8"
"U. S. Representative -- 4th Congressional District","Bossier","04","04B -1","22","34","382","18"
"U. S. Representative -- 4th Congressional District","Bossier","04","04B -2","25","18","322","17"
"U. S. Representative -- 4th Congressional District","Bossier","04","05A","20","35","232","15"
"U. S. Representative -- 4th Congressional District","Bossier","04","06 -1","48","50","385","21"
"U. S. Representative -- 4th Congressional District","Bossier","04","06 -2","31","78","432","32"
"U. S. Representative -- 4th Congressional District","Bossier","04","07 -1","43","55","366","21"
"U. S. Representative -- 4th Congressional District","Bossier","04","07 -2","32","45","279","19"
"U. S. Representative -- 4th Congressional District","Bossier","04","08A","52","82","391","30"
"U. S. Representative -- 4th Congressional District","Bossier","04","08B -1","28","40","306","19"
"U. S. Representative -- 4th Congressional District","Bossier","04","08B -2","32","41","224","9"
"U. S. Representative -- 4th Congressional District","Bossier","04","08C","19","73","60","17"
"U. S. Representative -- 4th Congressional District","Bossier","04","08D","7","32","45","11"
"U. S. Representative -- 4th Congressional District","Bossier","04","08E","20","18","216","7"
"U. S. Representative -- 4th Congressional District","Bossier","04","08F","0","0","2","0"
"U. S. Representative -- 4th Congressional District","Bossier","04","09","43","42","499","13"
"U. S. Representative -- 4th Congressional District","Bossier","04","10 -1","33","39","256","16"
"U. S. Representative -- 4th Congressional District","Bossier","04","10 -2","31","31","192","20"
"U. S. Representative -- 4th Congressional District","Bossier","04","11A","22","27","271","13"
"U. S. Representative -- 4th Congressional District","Bossier","04","11B","61","90","410","26"
"U. S. Representative -- 4th Congressional District","Bossier","04","11C","20","43","212","14"
"U. S. Representative -- 4th Congressional District","Bossier","Early Voting","","1270","5023","18581","2298"
"U. S. Representative -- 4th Congressional District","Bossier","Provisional Votes","","2","3","6","1"
"U. S. Representative -- 4th Congressional District","Caddo","00","001","3","88","5","16"
"U. S. Representative -- 4th Congressional District","Caddo","00","002","24","195","282","61"
"U. S. Representative -- 4th Congressional District","Caddo","00","003","7","216","13","54"
"U. S. Representative -- 4th Congressional District","Caddo","00","004","18","390","85","86"
"U. S. Representative -- 4th Congressional District","Caddo","00","005 A","14","302","65","62"
"U. S. Representative -- 4th Congressional District","Caddo","00","005 B","21","316","47","62"
"U. S. Representative -- 4th Congressional District","Caddo","00","006","2","49","22","13"
"U. S. Representative -- 4th Congressional District","Caddo","00","007","22","141","85","54"
"U. S. Representative -- 4th Congressional District","Caddo","00","008","34","193","246","85"
"U. S. Representative -- 4th Congressional District","Caddo","00","009","23","34","252","50"
"U. S. Representative -- 4th Congressional District","Caddo","00","010","26","48","354","66"
"U. S. Representative -- 4th Congressional District","Caddo","00","011","41","68","527","50"
"U. S. Representative -- 4th Congressional District","Caddo","00","012","25","66","380","63"
"U. S. Representative -- 4th Congressional District","Caddo","00","013","54","87","645","127"
"U. S. Representative -- 4th Congressional District","Caddo","00","014","29","99","205","76"
"U. S. Representative -- 4th Congressional District","Caddo","00","015","34","157","188","108"
"U. S. Representative -- 4th Congressional District","Caddo","00","016","36","68","451","82"
"U. S. Representative -- 4th Congressional District","Caddo","00","017","22","124","167","80"
"U. S. Representative -- 4th Congressional District","Caddo","00","020","43","47","281","95"
"U. S. Representative -- 4th Congressional District","Caddo","00","021","19","41","343","57"
"U. S. Representative -- 4th Congressional District","Caddo","00","022","31","67","461","63"
"U. S. Representative -- 4th Congressional District","Caddo","00","023","10","206","38","46"
"U. S. Representative -- 4th Congressional District","Caddo","00","024","27","76","298","69"
"U. S. Representative -- 4th Congressional District","Caddo","00","025","22","368","60","97"
"U. S. Representative -- 4th Congressional District","Caddo","00","026","18","48","213","66"
"U. S. Representative -- 4th Congressional District","Caddo","00","027","35","80","217","71"
"U. S. Representative -- 4th Congressional District","Caddo","00","028","0","13","14","8"
"U. S. Representative -- 4th Congressional District","Caddo","00","029","2","181","22","47"
"U. S. Representative -- 4th Congressional District","Caddo","00","030","25","402","64","77"
"U. S. Representative -- 4th Congressional District","Caddo","00","031","16","216","40","42"
"U. S. Representative -- 4th Congressional District","Caddo","00","032","11","165","35","42"
"U. S. Representative -- 4th Congressional District","Caddo","00","034","18","350","48","69"
"U. S. Representative -- 4th Congressional District","Caddo","00","035","8","222","41","43"
"U. S. Representative -- 4th Congressional District","Caddo","00","036","24","328","74","71"
"U. S. Representative -- 4th Congressional District","Caddo","00","037","8","208","26","53"
"U. S. Representative -- 4th Congressional District","Caddo","00","038","7","287","25","70"
"U. S. Representative -- 4th Congressional District","Caddo","00","039","7","144","5","32"
"U. S. Representative -- 4th Congressional District","Caddo","00","040","2","133","14","30"
"U. S. Representative -- 4th Congressional District","Caddo","00","041","2","130","14","24"
"U. S. Representative -- 4th Congressional District","Caddo","00","043","11","175","19","38"
"U. S. Representative -- 4th Congressional District","Caddo","00","044","12","181","22","42"
"U. S. Representative -- 4th Congressional District","Caddo","00","045","12","303","57","59"
"U. S. Representative -- 4th Congressional District","Caddo","00","046","11","241","40","53"
"U. S. Representative -- 4th Congressional District","Caddo","00","047","25","217","252","65"
"U. S. Representative -- 4th Congressional District","Caddo","00","048","30","46","372","39"
"U. S. Representative -- 4th Congressional District","Caddo","00","049 A","19","65","311","53"
"U. S. Representative -- 4th Congressional District","Caddo","00","049 B","22","72","273","47"
"U. S. Representative -- 4th Congressional District","Caddo","00","050","9","300","18","53"
"U. S. Representative -- 4th Congressional District","Caddo","00","051","12","381","38","68"
"U. S. Representative -- 4th Congressional District","Caddo","00","052","10","337","35","56"
"U. S. Representative -- 4th Congressional District","Caddo","00","053","11","257","43","45"
"U. S. Representative -- 4th Congressional District","Caddo","00","054","11","298","28","41"
"U. S. Representative -- 4th Congressional District","Caddo","00","055","9","142","89","34"
"U. S. Representative -- 4th Congressional District","Caddo","00","056","29","121","548","69"
"U. S. Representative -- 4th Congressional District","Caddo","00","057","6","223","34","44"
"U. S. Representative -- 4th Congressional District","Caddo","00","058","15","262","37","55"
"U. S. Representative -- 4th Congressional District","Caddo","00","059","9","303","29","58"
"U. S. Representative -- 4th Congressional District","Caddo","00","060","11","227","25","39"
"U. S. Representative -- 4th Congressional District","Caddo","00","061","9","238","20","37"
"U. S. Representative -- 4th Congressional District","Caddo","00","062","21","380","106","76"
"U. S. Representative -- 4th Congressional District","Caddo","00","063","17","157","117","27"
"U. S. Representative -- 4th Congressional District","Caddo","00","064","11","187","44","48"
"U. S. Representative -- 4th Congressional District","Caddo","00","065","17","175","146","36"
"U. S. Representative -- 4th Congressional District","Caddo","00","066","68","140","688","38"
"U. S. Representative -- 4th Congressional District","Caddo","00","067","4","137","11","30"
"U. S. Representative -- 4th Congressional District","Caddo","00","068","22","124","333","42"
