"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Klickitat","United States President Democratic Party","Bernie Sanders"," ","1526","36.7268","Federal"
"Klickitat","United States President Democratic Party","Tom Steyer"," ","18","0.4332","Federal"
"Klickitat","United States President Democratic Party","Elizabeth Warren"," ","356","8.568","Federal"
"Klickitat","United States President Democratic Party","Andrew Yang"," ","13","0.3129","Federal"
"Klickitat","United States President Democratic Party","Uncommitted Delegates"," ","38","0.9146","Federal"
"Klickitat","United States President Democratic Party","Write-in"," ","5","0.1203","Federal"
"Klickitat","United States President Republican Party","Donald J. Trump"," ","3957","98.8262","Federal"
"Klickitat","United States President Republican Party","Write-in"," ","47","1.1738","Federal"
"Lewis","United States President Democratic Party","Michael Bennet"," ","21","0.2132","Federal"
"Lewis","United States President Democratic Party","Joseph R. Biden"," ","3512","35.6584","Federal"
"Lewis","United States President Democratic Party","Michael Bloomberg"," ","1120","11.3717","Federal"
"Lewis","United States President Democratic Party","Cory Booker"," ","14","0.1421","Federal"
"Lewis","United States President Democratic Party","Pete Buttigieg"," ","488","4.9548","Federal"
"Lewis","United States President Democratic Party","John Delaney"," ","12","0.1218","Federal"
"Lewis","United States President Democratic Party","Tulsi Gabbard"," ","113","1.1473","Federal"
"Lewis","United States President Democratic Party","Amy Klobuchar"," ","216","2.1931","Federal"
"Lewis","United States President Democratic Party","Deval Patrick"," ","5","0.0508","Federal"
"Lewis","United States President Democratic Party","Bernie Sanders"," ","3453","35.0594","Federal"
"Lewis","United States President Democratic Party","Tom Steyer"," ","37","0.3757","Federal"
"Lewis","United States President Democratic Party","Elizabeth Warren"," ","719","7.3002","Federal"
"Lewis","United States President Democratic Party","Andrew Yang"," ","39","0.396","Federal"
"Lewis","United States President Democratic Party","Uncommitted Delegates"," ","86","0.8732","Federal"
"Lewis","United States President Democratic Party","Write-in"," ","14","0.1421","Federal"
"Lewis","United States President Republican Party","Donald J. Trump"," ","14955","99.4282","Federal"
"Lewis","United States President Republican Party","Write-in"," ","86","0.5718","Federal"
"Lincoln","United States President Democratic Party","Michael Bennet"," ","4","0.3509","Federal"
"Lincoln","United States President Democratic Party","Joseph R. Biden"," ","414","36.3158","Federal"
"Lincoln","United States President Democratic Party","Michael Bloomberg"," ","183","16.0526","Federal"
"Lincoln","United States President Democratic Party","Cory Booker"," ","1","0.0877","Federal"
"Lincoln","United States President Democratic Party","Pete Buttigieg"," ","75","6.5789","Federal"
"Lincoln","United States President Democratic Party","John Delaney"," ","0","0","Federal"
"Lincoln","United States President Democratic Party","Tulsi Gabbard"," ","24","2.1053","Federal"
"Lincoln","United States President Democratic Party","Amy Klobuchar"," ","39","3.4211","Federal"
"Lincoln","United States President Democratic Party","Deval Patrick"," ","0","0","Federal"
"Lincoln","United States President Democratic Party","Bernie Sanders"," ","295","25.8772","Federal"
"Lincoln","United States President Democratic Party","Tom Steyer"," ","3","0.2632","Federal"
"Lincoln","United States President Democratic Party","Elizabeth Warren"," ","83","7.2807","Federal"
"Lincoln","United States President Democratic Party","Andrew Yang"," ","5","0.4386","Federal"
"Lincoln","United States President Democratic Party","Uncommitted Delegates"," ","12","1.0526","Federal"
"Lincoln","United States President Democratic Party","Write-in"," ","2","0.1754","Federal"
"Lincoln","United States President Republican Party","Donald J. Trump"," ","2911","99.2838","Federal"
"Lincoln","United States President Republican Party","Write-in"," ","21","0.7162","Federal"
"Mason","United States President Democratic Party","Michael Bennet"," ","20","0.1656","Federal"
"Mason","United States President Democratic Party","Joseph R. Biden"," ","4613","38.1997","Federal"
"Mason","United States President Democratic Party","Michael Bloomberg"," ","1442","11.941","Federal"
"Mason","United States President Democratic Party","Cory Booker"," ","10","0.0828","Federal"
"Mason","United States President Democratic Party","Pete Buttigieg"," ","618","5.1176","Federal"
"Mason","United States President Democratic Party","John Delaney"," ","4","0.0331","Federal"
"Mason","United States President Democratic Party","Tulsi Gabbard"," ","135","1.1179","Federal"
"Mason","United States President Democratic Party","Amy Klobuchar"," ","307","2.5422","Federal"
"Mason","United States President Democratic Party","Deval Patrick"," ","3","0.0248","Federal"
"Mason","United States President Democratic Party","Bernie Sanders"," ","3892","32.2292","Federal"
"Mason","United States President Democratic Party","Tom Steyer"," ","60","0.4969","Federal"
"Mason","United States President Democratic Party","Elizabeth Warren"," ","845","6.9974","Federal"
"Mason","United States President Democratic Party","Andrew Yang"," ","39","0.323","Federal"
"Mason","United States President Democratic Party","Uncommitted Delegates"," ","73","0.6045","Federal"
"Mason","United States President Democratic Party","Write-in"," ","15","0.1242","Federal"
"Mason","United States President Republican Party","Donald J. Trump"," ","9083","98.5462","Federal"
"Mason","United States President Republican Party","Write-in"," ","134","1.4538","Federal"
"Okanogan","United States President Democratic Party","Michael Bennet"," ","17","0.2844","Federal"
"Okanogan","United States President Democratic Party","Joseph R. Biden"," ","1996","33.3891","Federal"
"Okanogan","United States President Democratic Party","Michael Bloomberg"," ","544","9.1","Federal"
"Okanogan","United States President Democratic Party","Cory Booker"," ","8","0.1338","Federal"
"Okanogan","United States President Democratic Party","Pete Buttigieg"," ","220","3.6802","Federal"
"Okanogan","United States President Democratic Party","John Delaney"," ","3","0.0502","Federal"
"Okanogan","United States President Democratic Party","Tulsi Gabbard"," ","62","1.0371","Federal"
"Okanogan","United States President Democratic Party","Amy Klobuchar"," ","131","2.1914","Federal"
"Okanogan","United States President Democratic Party","Deval Patrick"," ","2","0.0335","Federal"
"Okanogan","United States President Democratic Party","Bernie Sanders"," ","2327","38.9261","Federal"
"Okanogan","United States President Democratic Party","Tom Steyer"," ","10","0.1673","Federal"
"Okanogan","United States President Democratic Party","Elizabeth Warren"," ","564","9.4346","Federal"
"Okanogan","United States President Democratic Party","Andrew Yang"," ","27","0.4517","Federal"
"Okanogan","United States President Democratic Party","Uncommitted Delegates"," ","54","0.9033","Federal"
"Okanogan","United States President Democratic Party","Write-in"," ","13","0.2175","Federal"
"Okanogan","United States President Republican Party","Donald J. Trump"," ","6337","99.124","Federal"
"Okanogan","United States President Republican Party","Write-in"," ","56","0.876","Federal"
"Pacific","United States President Democratic Party","Michael Bennet"," ","11","0.2289","Federal"
"Pacific","United States President Democratic Party","Joseph R. Biden"," ","1826","38.0021","Federal"
"Pacific","United States President Democratic Party","Michael Bloomberg"," ","589","12.2581","Federal"
"Pacific","United States President Democratic Party","Cory Booker"," ","6","0.1249","Federal"
"Pacific","United States President Democratic Party","Pete Buttigieg"," ","269","5.5983","Federal"
"Pacific","United States President Democratic Party","John Delaney"," ","5","0.1041","Federal"
"Pacific","United States President Democratic Party","Tulsi Gabbard"," ","47","0.9781","Federal"
"Pacific","United States President Democratic Party","Amy Klobuchar"," ","119","2.4766","Federal"
"Pacific","United States President Democratic Party","Deval Patrick"," ","1","0.0208","Federal"
"Pacific","United States President Democratic Party","Bernie Sanders"," ","1433","29.8231","Federal"
"Pacific","United States President Democratic Party","Tom Steyer"," ","18","0.3746","Federal"
"Pacific","United States President Democratic Party","Elizabeth Warren"," ","404","8.4079","Federal"
"Pacific","United States President Democratic Party","Andrew Yang"," ","24","0.4995","Federal"
"Pacific","United States President Democratic Party","Uncommitted Delegates"," ","48","0.999","Federal"
"Pacific","United States President Democratic Party","Write-in"," ","5","0.1041","Federal"
"Pacific","United States President Republican Party","Donald J. Trump"," ","3516","98.9586","Federal"
"Pacific","United States President Republican Party","Write-in"," ","37","1.0414","Federal"
"Pend Oreille","United States President Democratic Party","Michael Bennet"," ","4","0.2255","Federal"
"Pend Oreille","United States President Democratic Party","Joseph R. Biden"," ","684","38.5569","Federal"
"Pend Oreille","United States President Democratic Party","Michael Bloomberg"," ","208","11.7249","Federal"
"Pend Oreille","United States President Democratic Party","Cory Booker"," ","2","0.1127","Federal"
"Pend Oreille","United States President Democratic Party","Pete Buttigieg"," ","97","5.4679","Federal"
"Pend Oreille","United States President Democratic Party","John Delaney"," ","1","0.0564","Federal"
"Pend Oreille","United States President Democratic Party","Tulsi Gabbard"," ","22","1.2401","Federal"
"Pend Oreille","United States President Democratic Party","Amy Klobuchar"," ","42","2.3675","Federal"
"Pend Oreille","United States President Democratic Party","Deval Patrick"," ","2","0.1127","Federal"
"Pend Oreille","United States President Democratic Party","Bernie Sanders"," ","560","31.5671","Federal"
"Pend Oreille","United States President Democratic Party","Tom Steyer"," ","13","0.7328","Federal"
"Pend Oreille","United States President Democratic Party","Elizabeth Warren"," ","101","5.6933","Federal"
"Pend Oreille","United States President Democratic Party","Andrew Yang"," ","10","0.5637","Federal"
"Pend Oreille","United States President Democratic Party","Uncommitted Delegates"," ","23","1.2965","Federal"
"Pend Oreille","United States President Democratic Party","Write-in"," ","5","0.2818","Federal"
"Pend Oreille","United States President Republican Party","Donald J. Trump"," ","2894","99.2455","Federal"
"Pend Oreille","United States President Republican Party","Write-in"," ","22","0.7545","Federal"
"Pierce","United States President Democratic Party","Michael Bennet"," ","232","0.1528","Federal"
"Pierce","United States President Democratic Party","Joseph R. Biden"," ","61097","40.2287","Federal"
"Pierce","United States President Democratic Party","Michael Bloomberg"," ","13340","8.7836","Federal"
"Pierce","United States President Democratic Party","Cory Booker"," ","143","0.0942","Federal"
"Pierce","United States President Democratic Party","Pete Buttigieg"," ","5856","3.8558","Federal"
"Pierce","United States President Democratic Party","John Delaney"," ","62","0.0408","Federal"
"Pierce","United States President Democratic Party","Tulsi Gabbard"," ","1401","0.9225","Federal"
"Pierce","United States President Democratic Party","Amy Klobuchar"," ","2489","1.6389","Federal"
"Pierce","United States President Democratic Party","Deval Patrick"," ","53","0.0349","Federal"
"Pierce","United States President Democratic Party","Bernie Sanders"," ","54385","35.8093","Federal"
"Pierce","United States President Democratic Party","Tom Steyer"," ","350","0.2305","Federal"
"Pierce","United States President Democratic Party","Elizabeth Warren"," ","10938","7.202","Federal"
"Pierce","United States President Democratic Party","Andrew Yang"," ","671","0.4418","Federal"
"Pierce","United States President Democratic Party","Uncommitted Delegates"," ","690","0.4543","Federal"
"Pierce","United States President Democratic Party","Write-in"," ","167","0.11","Federal"
"Pierce","United States President Republican Party","Donald J. Trump"," ","78783","98.4504","Federal"
"Pierce","United States President Republican Party","Write-in"," ","1240","1.5496","Federal"
"San Juan","United States President Democratic Party","Michael Bennet"," ","5","0.0678","Federal"
"San Juan","United States President Democratic Party","Joseph R. Biden"," ","2633","35.7162","Federal"
"San Juan","United States President Democratic Party","Michael Bloomberg"," ","422","5.7244","Federal"
"San Juan","United States President Democratic Party","Cory Booker"," ","4","0.0543","Federal"
"San Juan","United States President Democratic Party","Pete Buttigieg"," ","305","4.1373","Federal"
"San Juan","United States President Democratic Party","John Delaney"," ","3","0.0407","Federal"
"San Juan","United States President Democratic Party","Tulsi Gabbard"," ","79","1.0716","Federal"
"San Juan","United States President Democratic Party","Amy Klobuchar"," ","211","2.8622","Federal"
"San Juan","United States President Democratic Party","Deval Patrick"," ","3","0.0407","Federal"
"San Juan","United States President Democratic Party","Bernie Sanders"," ","2780","37.7103","Federal"
"San Juan","United States President Democratic Party","Tom Steyer"," ","14","0.1899","Federal"
"San Juan","United States President Democratic Party","Elizabeth Warren"," ","874","11.8557","Federal"
"San Juan","United States President Democratic Party","Andrew Yang"," ","16","0.217","Federal"
"San Juan","United States President Democratic Party","Uncommitted Delegates"," ","23","0.312","Federal"
"San Juan","United States President Democratic Party","Write-in"," ","0","0","Federal"
"San Juan","United States President Republican Party","Donald J. Trump"," ","1391","100","Federal"
"San Juan","United States President Republican Party","Write-in"," ","0","0","Federal"
"Skagit","United States President Democratic Party","Michael Bennet"," ","41","0.1591","Federal"
"Skagit","United States President Democratic Party","Joseph R. Biden"," ","10145","39.3583","Federal"
"Skagit","United States President Democratic Party","Michael Bloomberg"," ","2371","9.1985","Federal"
"Skagit","United States President Democratic Party","Cory Booker"," ","23","0.0892","Federal"
"Skagit","United States President Democratic Party","Pete Buttigieg"," ","1227","4.7602","Federal"
"Skagit","United States President Democratic Party","John Delaney"," ","9","0.0349","Federal"
"Skagit","United States President Democratic Party","Tulsi Gabbard"," ","274","1.063","Federal"
"Skagit","United States President Democratic Party","Amy Klobuchar"," ","760","2.9485","Federal"
"Skagit","United States President Democratic Party","Deval Patrick"," ","8","0.031","Federal"
"Skagit","United States President Democratic Party","Bernie Sanders"," ","8514","33.0307","Federal"
"Skagit","United States President Democratic Party","Tom Steyer"," ","71","0.2755","Federal"
"Skagit","United States President Democratic Party","Elizabeth Warren"," ","2090","8.1083","Federal"
"Skagit","United States President Democratic Party","Andrew Yang"," ","82","0.3181","Federal"
"Skagit","United States President Democratic Party","Uncommitted Delegates"," ","129","0.5005","Federal"
"Skagit","United States President Democratic Party","Write-in"," ","32","0.1241","Federal"
"Skagit","United States President Republican Party","Donald J. Trump"," ","14751","98.5305","Federal"
"Skagit","United States President Republican Party","Write-in"," ","220","1.4695","Federal"
"Skamania","United States President Democratic Party","Michael Bennet"," ","1","0.046","Federal"
"Skamania","United States President Democratic Party","Joseph R. Biden"," ","822","37.8279","Federal"
"Skamania","United States President Democratic Party","Michael Bloomberg"," ","187","8.6056","Federal"
"Skamania","United States President Democratic Party","Cory Booker"," ","0","0","Federal"
"Skamania","United States President Democratic Party","Pete Buttigieg"," ","86","3.9577","Federal"
"Skamania","United States President Democratic Party","John Delaney"," ","2","0.092","Federal"
"Skamania","United States President Democratic Party","Tulsi Gabbard"," ","31","1.4266","Federal"
"Skamania","United States President Democratic Party","Amy Klobuchar"," ","60","2.7612","Federal"
"Skamania","United States President Democratic Party","Deval Patrick"," ","0","0","Federal"
"Skamania","United States President Democratic Party","Bernie Sanders"," ","794","36.5393","Federal"
"Skamania","United States President Democratic Party","Tom Steyer"," ","1","0.046","Federal"
"Skamania","United States President Democratic Party","Elizabeth Warren"," ","164","7.5472","Federal"
"Skamania","United States President Democratic Party","Andrew Yang"," ","8","0.3682","Federal"
"Skamania","United States President Democratic Party","Uncommitted Delegates"," ","12","0.5522","Federal"
"Skamania","United States President Democratic Party","Write-in"," ","5","0.2301","Federal"
"Skamania","United States President Republican Party","Donald J. Trump"," ","1950","98.4848","Federal"
"Skamania","United States President Republican Party","Write-in"," ","30","1.5152","Federal"
"Snohomish","United States President Democratic Party","Michael Bennet"," ","233","0.1424","Federal"
"Snohomish","United States President Democratic Party","Joseph R. Biden"," ","64871","39.636","Federal"
"Snohomish","United States President Democratic Party","Michael Bloomberg"," ","12718","7.7707","Federal"
"Snohomish","United States President Democratic Party","Cory Booker"," ","111","0.0678","Federal"
"Snohomish","United States President Democratic Party","Pete Buttigieg"," ","6580","4.0204","Federal"
"Snohomish","United States President Democratic Party","John Delaney"," ","63","0.0385","Federal"
"Snohomish","United States President Democratic Party","Tulsi Gabbard"," ","1593","0.9733","Federal"
"Snohomish","United States President Democratic Party","Amy Klobuchar"," ","3102","1.8953","Federal"
"Snohomish","United States President Democratic Party","Deval Patrick"," ","64","0.0391","Federal"
"Snohomish","United States President Democratic Party","Bernie Sanders"," ","59779","36.5248","Federal"
"Snohomish","United States President Democratic Party","Tom Steyer"," ","364","0.2224","Federal"
"Snohomish","United States President Democratic Party","Elizabeth Warren"," ","12642","7.7242","Federal"
"Snohomish","United States President Democratic Party","Andrew Yang"," ","711","0.4344","Federal"
"Snohomish","United States President Democratic Party","Uncommitted Delegates"," ","664","0.4057","Federal"
"Snohomish","United States President Democratic Party","Write-in"," ","172","0.1051","Federal"
"Snohomish","United States President Republican Party","Donald J. Trump"," ","66870","98.0872","Federal"
"Snohomish","United States President Republican Party","Write-in"," ","1304","1.9128","Federal"
"Spokane","United States President Democratic Party","Michael Bennet"," ","115","0.134","Federal"
"Spokane","United States President Democratic Party","Joseph R. Biden"," ","30618","35.6828","Federal"
"Spokane","United States President Democratic Party","Michael Bloomberg"," ","9880","11.5143","Federal"
"Spokane","United States President Democratic Party","Cory Booker"," ","104","0.1212","Federal"
"Spokane","United States President Democratic Party","Pete Buttigieg"," ","4581","5.3388","Federal"
"Spokane","United States President Democratic Party","John Delaney"," ","46","0.0536","Federal"
"Spokane","United States President Democratic Party","Tulsi Gabbard"," ","828","0.965","Federal"
"Spokane","United States President Democratic Party","Amy Klobuchar"," ","2001","2.332","Federal"
"Spokane","United States President Democratic Party","Deval Patrick"," ","23","0.0268","Federal"
"Spokane","United States President Democratic Party","Bernie Sanders"," ","29750","34.6712","Federal"
"Spokane","United States President Democratic Party","Tom Steyer"," ","252","0.2937","Federal"
"Spokane","United States President Democratic Party","Elizabeth Warren"," ","6520","7.5985","Federal"
"Spokane","United States President Democratic Party","Andrew Yang"," ","390","0.4545","Federal"
"Spokane","United States President Democratic Party","Uncommitted Delegates"," ","596","0.6946","Federal"
"Spokane","United States President Democratic Party","Write-in"," ","102","0.1189","Federal"
"Spokane","United States President Republican Party","Donald J. Trump"," ","65889","98.6333","Federal"
"Spokane","United States President Republican Party","Write-in"," ","913","1.3667","Federal"
"Stevens","United States President Democratic Party","Michael Bennet"," ","15","0.2759","Federal"
"Stevens","United States President Democratic Party","Joseph R. Biden"," ","1954","35.9455","Federal"
"Stevens","United States President Democratic Party","Michael Bloomberg"," ","693","12.7483","Federal"
"Stevens","United States President Democratic Party","Cory Booker"," ","8","0.1472","Federal"
"Stevens","United States President Democratic Party","Pete Buttigieg"," ","295","5.4268","Federal"
"Stevens","United States President Democratic Party","John Delaney"," ","8","0.1472","Federal"
"Stevens","United States President Democratic Party","Tulsi Gabbard"," ","61","1.1221","Federal"
"Stevens","United States President Democratic Party","Amy Klobuchar"," ","172","3.1641","Federal"
"Stevens","United States President Democratic Party","Deval Patrick"," ","3","0.0552","Federal"
"Stevens","United States President Democratic Party","Bernie Sanders"," ","1737","31.9536","Federal"
"Stevens","United States President Democratic Party","Tom Steyer"," ","25","0.4599","Federal"
"Stevens","United States President Democratic Party","Elizabeth Warren"," ","394","7.248","Federal"
"Stevens","United States President Democratic Party","Andrew Yang"," ","21","0.3863","Federal"
"Stevens","United States President Democratic Party","Uncommitted Delegates"," ","37","0.6806","Federal"
"Stevens","United States President Democratic Party","Write-in"," ","13","0.2391","Federal"
"Stevens","United States President Republican Party","Donald J. Trump"," ","10383","99.1975","Federal"
"Stevens","United States President Republican Party","Write-in"," ","84","0.8025","Federal"
"Thurston","United States President Democratic Party","Michael Bennet"," ","76","0.1162","Federal"
"Thurston","United States President Democratic Party","Joseph R. Biden"," ","23350","35.6881","Federal"
"Thurston","United States President Democratic Party","Michael Bloomberg"," ","5072","7.752","Federal"
"Thurston","United States President Democratic Party","Cory Booker"," ","52","0.0795","Federal"
"Thurston","United States President Democratic Party","Pete Buttigieg"," ","2776","4.2428","Federal"
"Thurston","United States President Democratic Party","John Delaney"," ","24","0.0367","Federal"
"Thurston","United States President Democratic Party","Tulsi Gabbard"," ","593","0.9063","Federal"
"Thurston","United States President Democratic Party","Amy Klobuchar"," ","1583","2.4195","Federal"
"Thurston","United States President Democratic Party","Deval Patrick"," ","17","0.026","Federal"
"Thurston","United States President Democratic Party","Bernie Sanders"," ","24833","37.9547","Federal"
"Thurston","United States President Democratic Party","Tom Steyer"," ","179","0.2736","Federal"
"Thurston","United States President Democratic Party","Elizabeth Warren"," ","6184","9.4516","Federal"
"Thurston","United States President Democratic Party","Andrew Yang"," ","284","0.4341","Federal"
"Thurston","United States President Democratic Party","Uncommitted Delegates"," ","351","0.5365","Federal"
"Thurston","United States President Democratic Party","Write-in"," ","54","0.0825","Federal"
"Thurston","United States President Republican Party","Donald J. Trump"," ","27426","98.4175","Federal"
"Thurston","United States President Republican Party","Write-in"," ","441","1.5825","Federal"
"Wahkiakum","United States President Democratic Party","Michael Bennet"," ","3","0.3333","Federal"
"Wahkiakum","United States President Democratic Party","Joseph R. Biden"," ","345","38.3333","Federal"
"Wahkiakum","United States President Democratic Party","Michael Bloomberg"," ","106","11.7778","Federal"
"Wahkiakum","United States President Democratic Party","Cory Booker"," ","1","0.1111","Federal"
"Wahkiakum","United States President Democratic Party","Pete Buttigieg"," ","49","5.4444","Federal"
"Wahkiakum","United States President Democratic Party","John Delaney"," ","0","0","Federal"
"Wahkiakum","United States President Democratic Party","Tulsi Gabbard"," ","11","1.2222","Federal"
"Wahkiakum","United States President Democratic Party","Amy Klobuchar"," ","23","2.5556","Federal"
"Wahkiakum","United States President Democratic Party","Deval Patrick"," ","0","0","Federal"
"Wahkiakum","United States President Democratic Party","Bernie Sanders"," ","285","31.6667","Federal"
"Wahkiakum","United States President Democratic Party","Tom Steyer"," ","1","0.1111","Federal"
"Wahkiakum","United States President Democratic Party","Elizabeth Warren"," ","62","6.8889","Federal"
"Wahkiakum","United States President Democratic Party","Andrew Yang"," ","4","0.4444","Federal"
"Wahkiakum","United States President Democratic Party","Uncommitted Delegates"," ","7","0.7778","Federal"
"Wahkiakum","United States President Democratic Party","Write-in"," ","3","0.3333","Federal"
"Wahkiakum","United States President Republican Party","Donald J. Trump"," ","900","99.0099","Federal"
"Wahkiakum","United States President Republican Party","Write-in"," ","9","0.9901","Federal"
"Walla Walla","United States President Democratic Party","Michael Bennet"," ","21","0.2324","Federal"
"Walla Walla","United States President Democratic Party","Joseph R. Biden"," ","3547","39.2541","Federal"
"Walla Walla","United States President Democratic Party","Michael Bloomberg"," ","834","9.2297","Federal"
"Walla Walla","United States President Democratic Party","Cory Booker"," ","8","0.0885","Federal"
"Walla Walla","United States President Democratic Party","Pete Buttigieg"," ","377","4.1722","Federal"
"Walla Walla","United States President Democratic Party","John Delaney"," ","4","0.0443","Federal"
"Walla Walla","United States President Democratic Party","Tulsi Gabbard"," ","103","1.1399","Federal"
"Walla Walla","United States President Democratic Party","Amy Klobuchar"," ","293","3.2426","Federal"
"Walla Walla","United States President Democratic Party","Deval Patrick"," ","0","0","Federal"
"Walla Walla","United States President Democratic Party","Bernie Sanders"," ","2925","32.3705","Federal"
"Walla Walla","United States President Democratic Party","Tom Steyer"," ","33","0.3652","Federal"
"Walla Walla","United States President Democratic Party","Elizabeth Warren"," ","801","8.8645","Federal"
"Walla Walla","United States President Democratic Party","Andrew Yang"," ","45","0.498","Federal"
"Walla Walla","United States President Democratic Party","Uncommitted Delegates"," ","45","0.498","Federal"
"Walla Walla","United States President Democratic Party","Write-in"," ","0","0","Federal"
"Walla Walla","United States President Republican Party","Donald J. Trump"," ","8090","100","Federal"
"Walla Walla","United States President Republican Party","Write-in"," ","0","0","Federal"
"Whatcom","United States President Democratic Party","Michael Bennet"," ","61","0.1031","Federal"
"Whatcom","United States President Democratic Party","Joseph R. Biden"," ","18752","31.6794","Federal"
"Whatcom","United States President Democratic Party","Michael Bloomberg"," ","3175","5.3638","Federal"
"Whatcom","United States President Democratic Party","Cory Booker"," ","55","0.0929","Federal"
"Whatcom","United States President Democratic Party","Pete Buttigieg"," ","2068","3.4937","Federal"
"Whatcom","United States President Democratic Party","John Delaney"," ","20","0.0338","Federal"
"Whatcom","United States President Democratic Party","Tulsi Gabbard"," ","572","0.9663","Federal"
"Whatcom","United States President Democratic Party","Amy Klobuchar"," ","1169","1.9749","Federal"
"Whatcom","United States President Democratic Party","Deval Patrick"," ","31","0.0524","Federal"
"Whatcom","United States President Democratic Party","Bernie Sanders"," ","27295","46.1119","Federal"
"Whatcom","United States President Democratic Party","Tom Steyer"," ","115","0.1943","Federal"
"Whatcom","United States President Democratic Party","Elizabeth Warren"," ","5354","9.045","Federal"
"Whatcom","United States President Democratic Party","Andrew Yang"," ","256","0.4325","Federal"
"Whatcom","United States President Democratic Party","Uncommitted Delegates"," ","228","0.3852","Federal"
"Whatcom","United States President Democratic Party","Write-in"," ","42","0.071","Federal"
"Whatcom","United States President Republican Party","Donald J. Trump"," ","23191","98.4213","Federal"
"Whatcom","United States President Republican Party","Write-in"," ","372","1.5787","Federal"
"Whitman","United States President Democratic Party","Michael Bennet"," ","5","0.0734","Federal"
"Whitman","United States President Democratic Party","Joseph R. Biden"," ","2050","30.094","Federal"
"Whitman","United States President Democratic Party","Michael Bloomberg"," ","383","5.6224","Federal"
"Whitman","United States President Democratic Party","Cory Booker"," ","3","0.044","Federal"
"Whitman","United States President Democratic Party","Pete Buttigieg"," ","291","4.2719","Federal"
"Whitman","United States President Democratic Party","John Delaney"," ","0","0","Federal"
"Whitman","United States President Democratic Party","Tulsi Gabbard"," ","72","1.057","Federal"
"Whitman","United States President Democratic Party","Amy Klobuchar"," ","144","2.1139","Federal"
"Whitman","United States President Democratic Party","Deval Patrick"," ","6","0.0881","Federal"
"Whitman","United States President Democratic Party","Bernie Sanders"," ","3040","44.6271","Federal"
"Whitman","United States President Democratic Party","Tom Steyer"," ","12","0.1762","Federal"
"Whitman","United States President Democratic Party","Elizabeth Warren"," ","727","10.6723","Federal"
"Whitman","United States President Democratic Party","Andrew Yang"," ","37","0.5432","Federal"
"Whitman","United States President Democratic Party","Uncommitted Delegates"," ","37","0.5432","Federal"
"Whitman","United States President Democratic Party","Write-in"," ","5","0.0734","Federal"
"Whitman","United States President Republican Party","Donald J. Trump"," ","4312","98.0892","Federal"
"Whitman","United States President Republican Party","Write-in"," ","84","1.9108","Federal"
"Yakima","United States President Democratic Party","Michael Bennet"," ","108","0.4613","Federal"
"Yakima","United States President Democratic Party","Joseph R. Biden"," ","8129","34.7215","Federal"
"Yakima","United States President Democratic Party","Michael Bloomberg"," ","2928","12.5064","Federal"
"Yakima","United States President Democratic Party","Cory Booker"," ","28","0.1196","Federal"
"Yakima","United States President Democratic Party","Pete Buttigieg"," ","922","3.9382","Federal"
"Yakima","United States President Democratic Party","John Delaney"," ","21","0.0897","Federal"
"Yakima","United States President Democratic Party","Tulsi Gabbard"," ","230","0.9824","Federal"
"Yakima","United States President Democratic Party","Amy Klobuchar"," ","505","2.157","Federal"
"Yakima","United States President Democratic Party","Deval Patrick"," ","9","0.0384","Federal"
"Yakima","United States President Democratic Party","Bernie Sanders"," ","8880","37.9293","Federal"
"Yakima","United States President Democratic Party","Tom Steyer"," ","90","0.3844","Federal"
"Yakima","United States President Democratic Party","Elizabeth Warren"," ","1317","5.6253","Federal"
"Yakima","United States President Democratic Party","Andrew Yang"," ","77","0.3289","Federal"
"Yakima","United States President Democratic Party","Uncommitted Delegates"," ","150","0.6407","Federal"
"Yakima","United States President Democratic Party","Write-in"," ","18","0.0769","Federal"
"Yakima","United States President Republican Party","Donald J. Trump"," ","24077","98.9968","Federal"
"Yakima","United States President Republican Party","Write-in"," ","244","1.0032","Federal"
